autoid,From,To,Date,Subject
675,Lucas.Alcazar@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/14/14 10:17,Patch status
676,Varja.Lagos@gastech.com.kronos,"Hideki.Cocinaro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/14/14 10:24,RE: Security procedures for January 20 VIP visit
677,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 10:49,Seeing strange network activity
678,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/14/14 11:11,RE: Patch status
679,Varja.Lagos@gastech.com.kronos,"Hideki.Cocinaro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/14/14 11:18,RE: Security procedures for January 20 VIP visit
680,Lars.Azada@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/14/14 11:19,Who’s tracking the office pool
681,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:19,RE: Action: Review network logs
682,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:21,RE: Seeing strange network activity
683,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:25,RE: Seeing strange network activity
684,Hideki.Cocinaro@gastech.com.kronos,"Hideki.Cocinaro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/14/14 11:26,RE: Security procedures for January 20 VIP visit
685,Isak.Baza@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/14/14 11:27,RE: Patch status
686,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:31,RE: Action: Review network logs
687,Isak.Baza@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/14/14 11:32,RE: Patch status
688,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:34,RE: Action: Review network logs
689,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:36,RE: Action: Review network logs
690,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 11:43,Take a look at this
691,Ruscella.Mies.Haber@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/14/14 12:04,Daily morning announcements
692,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 12:05,Man your battlestations!
693,Isia.Vann@gastech.com.kronos,"Hideki.Cocinaro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/14/14 12:11,RE: Security procedures for January 20 VIP visit
694,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/14/14 12:22,Be Careful!
695,Loreto.Bodrogi@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/14/14 12:29,RE: Mandatory training
696,Inga.Ferro@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1/14/14 12:35,Plants
697,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 12:35,Babysitting recommendations
698,Anda.Ribera@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 12:37,Too funy - you have to see this...
699,Henk.Mies@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos",1/14/14 12:43,"Guys night out - sorry, ladies"
700,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 12:46,Can someone verify this behavior?
701,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 12:48,RE: Man your battlestations!
702,Lucas.Alcazar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/14/14 12:57,RE: Mandatory training
703,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 12:58,RE: Action: Review network logs
704,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:01,RE: Man your battlestations!
705,Willem.Vasco-Pais@gastech.com.kronos,"Sten.Sanjorge.Jr.@gastech.com.tethys, Willem.Vasco-Pais@gastech.com.kronos",1/14/14 13:07,Operational efficiencies
706,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:12,RE: Man your battlestations!
707,Rachel.Pantanal@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 13:15,Training opportunity
708,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/14/14 13:15,Maximizing quarterly profits
709,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/14/14 13:17,Facilities preparations for VIP visit
710,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:20,RE: Take a look at this
711,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:27,RE: Man your battlestations!
712,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:34,RE: Man your battlestations!
713,Anda.Ribera@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/14/14 13:35,RE: Who’s tracking the office pool
714,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:35,RE: Seeing strange network activity
715,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:38,RE: Can someone verify this behavior?
716,Willem.Vasco-Pais@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",1/14/14 13:39,Impact of local politics on profit margin
717,Adan.Morlun@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/14/14 13:41,RE: Mandatory training
718,Isande.Borrasca@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/14/14 13:43,Wellhead flow rate data
719,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/14/14 13:43,RE: Maximizing quarterly profits
720,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:43,RE: Man your battlestations!
721,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:43,RE: Seeing strange network activity
722,Albina.Hafon@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos",1/14/14 13:43,Traffic advisory for today
723,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",1/14/14 13:48,RE: Maximizing quarterly profits
724,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 13:51,RE: Seeing strange network activity
725,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 14:00,RE: Can someone verify this behavior?
726,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 14:02,RE: Can someone verify this behavior?
727,Felix.Balas@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/14/14 14:10,RE: Wellhead flow rate data
728,Inga.Ferro@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/14/14 14:14,Late for meeting
729,Lars.Azada@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1/14/14 14:15,RE: Who’s tracking the office pool
730,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 14:19,RE: Take a look at this
731,Anda.Ribera@gastech.com.kronos,Lars.Azada@gastech.com.kronos,1/14/14 14:22,RE: Who’s tracking the office pool
732,Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 14:22,RE: Babysitting recommendations
733,Vira.Frente@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/14/14 14:23,RE: Wellhead flow rate data
734,Linnea.Bergen@gastech.com.kronos,"Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos",1/14/14 14:33,Action: Virus detected on your system
735,Lars.Azada@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,1/14/14 14:38,Supplies
736,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/14/14 14:41,Conference report
737,Valeria.Morlun@gastech.com.kronos,"Varro.Awelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/14/14 14:48,RE: Facilities preparations for VIP visit
738,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 14:58,RE: Can someone verify this behavior?
739,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 15:01,RE: Can someone verify this behavior?
740,Minke.Mies@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/14/14 15:04,RE: Late for meeting
741,Inga.Ferro@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/14/14 15:05,RE: Late for meeting
742,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 15:06,RE: Babysitting recommendations
743,Claudio.Hawelon@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos",1/14/14 15:13,RE: Facilities preparations for VIP visit
744,Axel.Calzas@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/14/14 15:18,RE: Wellhead flow rate data
745,Ada.Campo-Corrente@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",1/14/14 15:20,RE: Impact of local politics on profit margin
746,Axel.Calzas@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/14/14 15:20,RE: Wellhead flow rate data
747,Willem.Vasco-Pais@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",1/14/14 15:24,RE: Impact of local politics on profit margin
748,Irene.Nant@gastech.com.kronos,"Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/14/14 15:25,Who took the toolbox out of my truck?
749,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 15:28,RE: Can someone verify this behavior?
750,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 15:28,RE: Babysitting recommendations
751,Minke.Mies@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,1/14/14 15:36,RE: Late for meeting
752,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/14 15:37,RE: Too funy - you have to see this...
753,Cecilia.Morluniau@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/14/14 15:37,RE: Be Careful!
754,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/14 15:42,RE: Can someone verify this behavior?
755,Henk.Mies@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos",1/14/14 15:42,Route suggestion for next shift
756,Inga.Ferro@gastech.com.kronos,Minke.Mies@gastech.com.kronos,1/14/14 15:48,RE: Late for meeting
757,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/14/14 15:48,Article - interesting
758,Emile.Arpa@gastech.com.kronos,"Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos",1/14/14 15:51,RE: Facilities preparations for VIP visit
